"Deine Klassenstufe/Lehrer","In welche Shops/Läden würdest du vorzugsweise gehen? ","Was würdest du in einem Fast Food-Restaurant bestellen","Was würdest du beim Bäcker bestellen?","Was würdest du im Kasino vorzugsweise spielen?","Was würdest du dir in einem Fanartikel-Shop kaufen?","Was würdest du dir in einem Sportladen kaufen?","Was ist deine Lieblingsfarbe?","Was würdest du eher in einem Webshop herunterladen?","Timestamp","Zuletzt aktualisiert","Erstellt von","Aktualisiert von","Entwurf","IP-Adresse","ID","Schlüssel"
"5-6","Sportladen","Pommes","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 09:16:19","2019-05-10 09:16:19","","","0","","983","ouc9b"
"5-6","Bäcker, Supermarkt","Burger","Schokocroissant","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 09:16:08","2019-05-10 09:16:08","","","0","","982","6pjmw"
"5-6","Supermarkt","Burger","Schokocroissant","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 09:16:04","2019-05-10 09:16:04","","","0","","981","jskmh"
"5-6","Fast Food-Restaurant","Burger","Salamibrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Schwarz","MP3 (Einen Song)","2019-05-10 09:15:56","2019-05-10 09:15:56","","","0","","980","9taz1"
"5-6","Sportladen","Burger","Salamibrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 09:15:32","2019-05-10 09:15:32","","","0","","979","v6xkz"
"5-6","Bäcker, Sportladen, Supermarkt","Fleischklopsbrötchen (Boulette/Frikadelle)","Käsebrötchen","Hau-den-Dino","Pfeife","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 09:06:40","2019-05-10 09:06:40","","","0","","968","mywv5"
"5-6","Fast Food-Restaurant, Bäcker, Kasino, Supermarkt","Pommes","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Blau","MP3 (Einen Song)","2019-05-10 09:06:33","2019-05-10 09:06:33","","","0","","967","lcgs8"
"5-6","Supermarkt","Burger","Schokocroissant","Hau-den-Dino","Dinochips (Einkaufswagen)","Taucher-Set","Grün","MP3 (Einen Song)","2019-05-10 09:05:53","2019-05-10 09:05:53","","","0","","966","3sk7r"
"5-6","Sportladen","Burger","Käsebrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Grün","MP3 (Einen Song)","2019-05-10 09:04:02","2019-05-10 09:04:02","","","0","","959","4jizy"
"5-6","Fanartikel-Shop, Webshop","Pommes","Käsebrötchen","Heißer Draht in Dino-Form","Pfeife","Trainingskleidung-Set (Laufsachen)","Violett","MP3 (Einen Song)","2019-05-10 09:04:07","2019-05-10 09:04:07","","","0","","960","tq7hk"
"5-6","Bäcker","Currywurst","Franzbrötchen","Hau-den-Dino","Dinochips (Einkaufswagen)","Trainingskleidung-Set (Laufsachen)","Rot","MP3 (Einen Song)","2019-05-10 09:04:16","2019-05-10 09:04:16","","","0","","961","fobwi"
